ASFIS_species,scientific_name,pooled_commodity,ISSCAAP_group,ISSCAAP_division,exvessel_estimated
Antarctic stone crab,Paralomis spinosissima,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
Blue king crab,Paralithodes platypus,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
Brown king crab,Paralithodes brevipes,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
Globose king crab,Paralomis formosa,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
Golden king crab,Lithodes aequispina,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
King crabs,Paralithodes spp,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
King crabs nei,Lithodes spp,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
"King crabs, stone crabs nei",Lithodidae,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
Red king crab,Paralithodes camtschaticus,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
Red stone crab,Paralomis aculeata,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
Red vermillion crab,Paralomis verrilli,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
Softshell red crab,Paralomis granulosa,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
Southern king crab,Lithodes santolla,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
Subantarctic stone crab,Lithodes murrayi,King crabs,"King crabs, squat-lobsters",CRUSTACEANS,1
Blue squat lobster,Cervimunida johni,Squat-lobsters,"King crabs, squat-lobsters",CRUSTACEANS,1
Carrot squat lobster,Pleuroncodes monodon,Squat-lobsters,"King crabs, squat-lobsters",CRUSTACEANS,1
"Craylets, squat lobsters",Galatheidae,Squat-lobsters,"King crabs, squat-lobsters",CRUSTACEANS,1
Pelagic red crab,Pleuroncodes planipes,Squat-lobsters,"King crabs, squat-lobsters",CRUSTACEANS,1
Swarming squat lobster,Munida gregaria,Squat-lobsters,"King crabs, squat-lobsters",CRUSTACEANS,1
Antarctic krill,Euphausia superba,Crustaceans,"Krill, planktonic crustaceans",CRUSTACEANS,1
Norwegian krill,Meganyctiphanes norvegica,Crustaceans,"Krill, planktonic crustaceans",CRUSTACEANS,1
