ASFIS_species,scientific_name,pooled_commodity,ISSCAAP_group,ISSCAAP_division,exvessel_estimated
Lake Malawi utaka,Copadichromis virginalis,Ornamental freshwater fishes,Tilapias and other cichlids,FRESHWATER FISHES,1
Mouthbrooding cichlids,Haplochromis spp,Ornamental freshwater fishes,Tilapias and other cichlids,FRESHWATER FISHES,1
Oscar,Astronotus ocellatus,Ornamental freshwater fishes,Tilapias and other cichlids,FRESHWATER FISHES,1
Peacock cichlid,Cichla ocellaris,Ornamental freshwater fishes,Tilapias and other cichlids,FRESHWATER FISHES,1
Velvety cichlids,Astronotus spp,Ornamental freshwater fishes,Tilapias and other cichlids,FRESHWATER FISHES,1
Blackchin tilapia,Sarotherodon melanotheron,Tilapias,Tilapias and other cichlids,FRESHWATER FISHES,1
Blue tilapia,Oreochromis aureus,Tilapias,Tilapias and other cichlids,FRESHWATER FISHES,1
Mango tilapia,Sarotherodon galilaeus,Tilapias,Tilapias and other cichlids,FRESHWATER FISHES,1
Mozambique tilapia,Oreochromis mossambicus,Tilapias,Tilapias and other cichlids,FRESHWATER FISHES,1
Nile tilapia,Oreochromis niloticus,Tilapias,Tilapias and other cichlids,FRESHWATER FISHES,1
Tilapia shiranus,Oreochromis shiranus,Tilapias,Tilapias and other cichlids,FRESHWATER FISHES,1
Tilapias nei,Oreochromis (=Tilapia) spp,Tilapias,Tilapias and other cichlids,FRESHWATER FISHES,1
Alaska pollock(=Walleye poll.),Theragra chalcogramma,Alaska pollock,"Cods, hakes, haddocks",MARINE FISHES,1
Argentine hake,Merluccius hubbsi,Argentine hake,"Cods, hakes, haddocks",MARINE FISHES,1
Atlantic cod,Gadus morhua,Atlantic cod,"Cods, hakes, haddocks",MARINE FISHES,1
Blue whiting(=Poutassou),Micromesistius poutassou,Blue whiting,"Cods, hakes, haddocks",MARINE FISHES,1
Cape hakes,"Merluccius capensis, M.paradoxus",Cape hake,"Cods, hakes, haddocks",MARINE FISHES,1
Deep-water Cape hake,Merluccius paradoxus,Cape hake,"Cods, hakes, haddocks",MARINE FISHES,1
Shallow-water Cape hake,Merluccius capensis,Cape hake,"Cods, hakes, haddocks",MARINE FISHES,1
Greenland cod,Gadus ogac,Cods,"Cods, hakes, haddocks",MARINE FISHES,1
European hake,Merluccius merluccius,European hake,"Cods, hakes, haddocks",MARINE FISHES,1
Atlantic tomcod,Microgadus tomcod,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Blue antimora,Antimora rostrata,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Common mora,Mora moro,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Fourbeard rockling,Enchelyopus cimbrius,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Gadiformes nei,Gadiformes,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Grenadier cod,Tripterophycis gilchristi,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Longfin codling,Laemonema longipes,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Moras nei,Moridae,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Moray cods nei,Muraenolepis spp,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Navaga(=Wachna cod),Eleginus navaga,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Norway pout,Trisopterus esmarkii,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Pacific tomcod,Microgadus proximus,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Poor cod,Trisopterus minutus,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Pouting(=Bib),Trisopterus luscus,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Red codling,Pseudophycis bachus,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Rocklings nei,Gaidropsarus spp,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Saffron cod,Eleginus gracilis,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Silvery pout,Gadiculus argenteus,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Slender codling,Halargyreus johnsonii,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Smalleye moray cod,Muraenolepis microps,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Tadpole codling,Salilota australis,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Threadfin rockling,Gaidropsarus ensis,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Unicorn cod,Bregmaceros mcclellandi,Gadiformes,"Cods, hakes, haddocks",MARINE FISHES,1
Bigeye grenadier,Macrourus holotrachys,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Blue grenadier,Macruronus novaezelandiae,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Chilean grenadier,Coelorinchus chilensis,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Common Atlantic grenadier,Nezumia aequalis,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Dogtooth grenadier,Cynomacrurus piriei,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Grenadiers nei,Macrourus spp,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
"Grenadiers, rattails nei",Macrouridae,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
"Grenadiers, whiptails nei",Coryphaenoides spp,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Patagonian grenadier,Macruronus magellanicus,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Ridge scaled rattail,Macrourus carinatus,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Roughhead grenadier,Macrourus berglax,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Roughsnout grenadier,Trachyrincus scabrus,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Roundnose grenadier,Coryphaenoides rupestris,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Thorntooth grenadier,Lepidorhynchus denticulatus,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Whitson's grenadier,Macrourus whitsoni,Grenadiers,"Cods, hakes, haddocks",MARINE FISHES,1
Haddock,Melanogrammus aeglefinus,Haddock,"Cods, hakes, haddocks",MARINE FISHES,1
Benguela hake,Merluccius polli,Hake,"Cods, hakes, haddocks",MARINE FISHES,1
Forkbeard,Phycis phycis,Hake,"Cods, hakes, haddocks",MARINE FISHES,1
Forkbeards nei,Phycis spp,Hake,"Cods, hakes, haddocks",MARINE FISHES,1
Greater forkbeard,Phycis blennoides,Hake,"Cods, hakes, haddocks",MARINE FISHES,1
Hakes nei,Merluccius spp,Hake,"Cods, hakes, haddocks",MARINE FISHES,1
Longfin hake,Phycis chesteri,Hake,"Cods, hakes, haddocks",MARINE FISHES,1
North Pacific hake,Merluccius productus,Hake,"Cods, hakes, haddocks",MARINE FISHES,1
Offshore silver hake,Merluccius albidus,Hake,"Cods, hakes, haddocks",MARINE FISHES,1
Panama hake,Merluccius angustimanus,Hake,"Cods, hakes, haddocks",MARINE FISHES,1
Senegalese hake,Merluccius senegalensis,Hake,"Cods, hakes, haddocks",MARINE FISHES,1
Silver hake,Merluccius bilinearis,Hake,"Cods, hakes, haddocks",MARINE FISHES,1
Brazilian codling,Urophycis brasiliensis,Hake of the genus Urophycis,"Cods, hakes, haddocks",MARINE FISHES,1
Red hake,Urophycis chuss,Hake of the genus Urophycis,"Cods, hakes, haddocks",MARINE FISHES,1
White hake,Urophycis tenuis,Hake of the genus Urophycis,"Cods, hakes, haddocks",MARINE FISHES,1
Blue ling,Molva dypterygia,Ling,"Cods, hakes, haddocks",MARINE FISHES,1
Ling,Molva molva,Ling,"Cods, hakes, haddocks",MARINE FISHES,1
Lings nei,Molva spp,Ling,"Cods, hakes, haddocks",MARINE FISHES,1
Spanish ling,Molva macrophthalma,Ling,"Cods, hakes, haddocks",MARINE FISHES,1
Pacific cod,Gadus macrocephalus,Pacific cod,"Cods, hakes, haddocks",MARINE FISHES,1
Polar cod,Boreogadus saida,Polar cod,"Cods, hakes, haddocks",MARINE FISHES,1
Pollack,Pollachius pollachius,Saithe (=Pollock),"Cods, hakes, haddocks",MARINE FISHES,1
Saithe(=Pollock),Pollachius virens,Saithe (=Pollock),"Cods, hakes, haddocks",MARINE FISHES,1
South Pacific hake,Merluccius gayi,South Pacific hake,"Cods, hakes, haddocks",MARINE FISHES,1
Southern blue whiting,Micromesistius australis,Southern blue whiting,"Cods, hakes, haddocks",MARINE FISHES,1
Southern hake,Merluccius australis,Southern hake,"Cods, hakes, haddocks",MARINE FISHES,1
Tusk(=Cusk),Brosme brosme,Tusk,"Cods, hakes, haddocks",MARINE FISHES,1
Whiting,Merlangius merlangus,Whiting,"Cods, hakes, haddocks",MARINE FISHES,1
Argentine menhaden,Brevoortia pectinata,Fish for reduction,Fish for reduction,MARINE FISHES,1
Atlantic menhaden,Brevoortia tyrannus,Fish for reduction,Fish for reduction,MARINE FISHES,1
Brazilian menhaden,Brevoortia aurea,Fish for reduction,Fish for reduction,MARINE FISHES,1
Gulf menhaden,Brevoortia patronus,Fish for reduction,Fish for reduction,MARINE FISHES,1
Pacific menhaden,Ethmidium maculatum,Fish for reduction,Fish for reduction,MARINE FISHES,1
Atlantic halibut,Hippoglossus hippoglossus,Atlantic halibut,"Flounders, halibuts, soles",MARINE FISHES,1
Bastard halibut,Paralichthys olivaceus,Bastard halibut,"Flounders, halibuts, soles",MARINE FISHES,1
Bastard halibuts nei,Paralichthys spp,Bastard halibut,"Flounders, halibuts, soles",MARINE FISHES,1
Common dab,Limanda limanda,Common dab,"Flounders, halibuts, soles",MARINE FISHES,1
Common sole,Solea solea,Common sole,"Flounders, halibuts, soles",MARINE FISHES,1
European plaice,Pleuronectes platessa,European plaice,"Flounders, halibuts, soles",MARINE FISHES,1
Flatfishes nei,Pleuronectiformes,Flatfishes,"Flounders, halibuts, soles",MARINE FISHES,1
Pacific sanddab,Citharichthys sordidus,Flatfishes,"Flounders, halibuts, soles",MARINE FISHES,1
Tonguefishes,Cynoglossidae,Flatfishes,"Flounders, halibuts, soles",MARINE FISHES,1
Antarctic armless flounder,Mancopsetta maculata,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Arrow-tooth flounder,Atheresthes stomias,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
California flounder,Paralichthys californicus,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Citharids nei,Citharidae,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
European flounder,Platichthys flesus,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Fourspot flounder,Paralichthys oblongus,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
God's flounder,Cyclopsetta panamensis,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Kamchatka flounder,Atheresthes evermanni,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Lefteye flounders nei,Bothidae,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Leopard flounder,Bothus pantherinus,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Righteye flounders nei,Pleuronectidae,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Sand flounders nei,Rhombosolea spp,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Starry flounder,Platichthys stellatus,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Summer flounder,Paralichthys dentatus,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Windowpane flounder,Scophthalmus aquosus,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Winter flounder,Pseudopleuronectes americanus,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Witch flounder,Glyptocephalus cynoglossus,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Yellow striped flounder,Pseudopleuronectes herzenst.,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Yellowtail flounder,Limanda ferruginea,Flounder,"Flounders, halibuts, soles",MARINE FISHES,1
Greenland halibut,Reinhardtius hippoglossoides,Greenland halibut,"Flounders, halibuts, soles",MARINE FISHES,1
Lemon sole,Microstomus kitt,Lemon sole,"Flounders, halibuts, soles",MARINE FISHES,1
Four-spot megrim,Lepidorhombus boscii,Megrim,"Flounders, halibuts, soles",MARINE FISHES,1
Megrim,Lepidorhombus whiffiagonis,Megrim,"Flounders, halibuts, soles",MARINE FISHES,1
Megrims nei,Lepidorhombus spp,Megrim,"Flounders, halibuts, soles",MARINE FISHES,1
Pacific halibut,Hippoglossus stenolepis,Pacific halibut,"Flounders, halibuts, soles",MARINE FISHES,1
Alaska plaice,Pleuronectes quadrituberculat.,Plaices,"Flounders, halibuts, soles",MARINE FISHES,1
Amer. plaice(=Long rough dab),Hippoglossoides platessoides,Plaices,"Flounders, halibuts, soles",MARINE FISHES,1
Butter sole,Isopsetta isolepis,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Curlfin sole,Pleuronichthys decurrens,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Dover sole,Microstomus pacificus,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
English sole,Pleuronectes vetulus,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Flathead sole,Hippoglossoides elassodon,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Mud sole,Austroglossus pectoralis,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Pacific sand sole,Psettichthys melanostictus,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Petrale sole,Eopsetta jordani,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Rex sole,Glyptocephalus zachirus,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Rock sole,Lepidopsetta bilineata,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Sand sole,Solea lascaris,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Senegalese sole,Solea senegalensis,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Soles nei,Soleidae,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Southeast Atlantic soles nei,Austroglossus spp,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Southern lemon sole,Pelotretis flavilatus,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Thickback soles nei,Microchirus spp,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Wedge sole,Dicologlossa cuneata,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
West coast sole,Austroglossus microlepis,Soles,"Flounders, halibuts, soles",MARINE FISHES,1
Brill,Scophthalmus rhombus,Turbot,"Flounders, halibuts, soles",MARINE FISHES,1
Indian halibut,Psettodes erumei,Turbot,"Flounders, halibuts, soles",MARINE FISHES,1
Spottail spiny turbot,Psettodes belcheri,Turbot,"Flounders, halibuts, soles",MARINE FISHES,1
Turbot,Psetta maxima,Turbot,"Flounders, halibuts, soles",MARINE FISHES,1
Turbots nei,Scophthalmidae,Turbot,"Flounders, halibuts, soles",MARINE FISHES,1
Yellowfin sole,Limanda aspera,Yellowfin sole,"Flounders, halibuts, soles",MARINE FISHES,1
Anchoveta(=Peruvian anchovy),Engraulis ringens,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
"Anchovies, etc. nei",Engraulidae,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
Argentine anchovy,Engraulis anchoita,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
Atlantic anchoveta,Cetengraulis edentulus,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
Broad-striped anchovy,Anchoa hepsetus,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
Buccaneer anchovy,Encrasicholina punctifer,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
Californian anchovy,Engraulis mordax,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
Japanese anchovy,Engraulis japonicus,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
Longnose anchovy,Anchoa nasus,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
Marini's anchovy,Anchoa marinii,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
Pacific anchoveta,Cetengraulis mysticetus,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
Southern African anchovy,Engraulis capensis,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
Stolephorus anchovies nei,Stolephorus spp,Anchovies,"Herrings, sardines, anchovies",MARINE FISHES,1
Atlantic herring,Clupea harengus,Atlantic herring,"Herrings, sardines, anchovies",MARINE FISHES,1
European sprat,Sprattus sprattus,Brisling or sprats,"Herrings, sardines, anchovies",MARINE FISHES,1
Falkland sprat,Sprattus fuegensis,Brisling or sprats,"Herrings, sardines, anchovies",MARINE FISHES,1
Bonga shad,Ethmalosa fimbriata,Clupeoids,"Herrings, sardines, anchovies",MARINE FISHES,1
Clupeoids nei,Clupeoidei,Clupeoids,"Herrings, sardines, anchovies",MARINE FISHES,1
European anchovy,Engraulis encrasicolus,European anchovy,"Herrings, sardines, anchovies",MARINE FISHES,1
European pilchard(=Sardine),Sardina pilchardus,European sardine,"Herrings, sardines, anchovies",MARINE FISHES,1
Araucanian herring,Strangomera bentincki,Herrings,"Herrings, sardines, anchovies",MARINE FISHES,1
Atlantic thread herring,Opisthonema oglinum,Herrings,"Herrings, sardines, anchovies",MARINE FISHES,1
Bluestripe herring,Herklotsichthys quadrimaculat.,Herrings,"Herrings, sardines, anchovies",MARINE FISHES,1
Dorab wolf-herring,Chirocentrus dorab,Herrings,"Herrings, sardines, anchovies",MARINE FISHES,1
Pacific flatiron herring,Harengula thrissina,Herrings,"Herrings, sardines, anchovies",MARINE FISHES,1
Pacific herring,Clupea pallasii,Herrings,"Herrings, sardines, anchovies",MARINE FISHES,1
Pacific thread herring,Opisthonema libertate,Herrings,"Herrings, sardines, anchovies",MARINE FISHES,1
Red-eye round herring,Etrumeus teres,Herrings,"Herrings, sardines, anchovies",MARINE FISHES,1
Whitefin wolf-herring,Chirocentrus nudus,Herrings,"Herrings, sardines, anchovies",MARINE FISHES,1
Whitehead's round herring,Etrumeus whiteheadi,Herrings,"Herrings, sardines, anchovies",MARINE FISHES,1
Wolf-herrings nei,Chirocentrus spp,Herrings,"Herrings, sardines, anchovies",MARINE FISHES,1
Australian pilchard,Sardinops neopilchardus,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Bali sardinella,Sardinella lemuru,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Brazilian sardinella,Sardinella brasiliensis,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
California pilchard,Sardinops caeruleus,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Goldstripe sardinella,Sardinella gibbosa,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Indian oil sardine,Sardinella longiceps,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Japanese pilchard,Sardinops melanostictus,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Japanese sardinella,Sardinella zunasi,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Madeiran sardinella,Sardinella maderensis,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Pacific piquitinga,Lile stolifera,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Rainbow sardine,Dussumieria acuta,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Round sardinella,Sardinella aurita,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Sardinellas nei,Sardinella spp,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Scaled sardines,Harengula spp,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Silver-stripe round herring,Spratelloides gracilis,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Slender rainbow sardine,Dussumieria elopsoides,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
South American pilchard,Sardinops sagax,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Spotted sardinella,Amblygaster sirm,Pilchards(Sardinops spp.) and Sardinellas,"Herrings, sardines, anchovies",MARINE FISHES,1
Southern African pilchard,Sardinops ocellatus,South African pilchard,"Herrings, sardines, anchovies",MARINE FISHES,1
Groundfishes nei,Osteichthyes,Misc. demersal fishes,Marine fishes not identified,MARINE FISHES,1
Finfishes nei,Osteichthyes,Misc. marine fishes,Marine fishes not identified,MARINE FISHES,1
Marine fishes nei,Osteichthyes,Misc. marine fishes,Marine fishes not identified,MARINE FISHES,1
Pelagic fishes nei,Osteichthyes,Misc. pelagic fishes,Marine fishes not identified,MARINE FISHES,1
Atka mackerel,Pleurogrammus monopterygius,Atka mackerel,Miscellaneous coastal fishes,MARINE FISHES,1
Okhotsk atka mackerel,Pleurogrammus azonus,Atka mackerel,Miscellaneous coastal fishes,MARINE FISHES,1
Argentine croaker,Umbrina canosai,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Atlantic croaker,Micropogonias undulatus,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Bigeye croaker,Micropogonias megalops,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Bigtooth corvina,Isopisthus parvipinnis,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Blackmouth croaker,Atrobucca nibe,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Bobo croaker,Pseudotolithus elongatus,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Brown meagre,Sciaena umbra,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Cassava croaker,Pseudotolithus senegalensis,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Croakers nei,Micropogonias spp,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Donkey croaker,Pennahia anea,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Geelbek croaker,Atractoscion aequidens,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Gulf kingcroaker,Menticirrhus littoralis,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Honnibe croaker,Nibea mitsukurii,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Kingcroakers nei,Menticirrhus spp,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Large yellow croaker,Larimichthys croceus,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Law croaker,Pseudotolithus senegallus,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Meagre,Argyrosomus regius,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Mi-iuy (brown) croaker,Miichthys miiuy,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Northern kingfish,Menticirrhus saxatilis,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Peruvian banded croaker,Paralonchurus peruanus,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Silver croaker,Pennahia argentata,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Southern kingcroaker,Menticirrhus americanus,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Southern meagre(=Mulloway),Argyrosomus hololepidotus,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Spot croaker,Leiostomus xanthurus,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Tigertooth croaker,Otolithes ruber,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
West African croakers nei,Pseudotolithus spp,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
White croaker,Genyonemus lineatus,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Whitemouth croaker,Micropogonias furnieri,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Yellow croaker,Larimichthys polyactis,Croakers,Miscellaneous coastal fishes,MARINE FISHES,1
Black drum,Pogonias cromis,Drum,Miscellaneous coastal fishes,MARINE FISHES,1
Boe drum,Pteroscion peli,Drum,Miscellaneous coastal fishes,MARINE FISHES,1
Canary drum(=Baardman),Umbrina canariensis,Drum,Miscellaneous coastal fishes,MARINE FISHES,1
Corvina drum,Cilus gilberti,Drum,Miscellaneous coastal fishes,MARINE FISHES,1
"Croakers, drums nei",Sciaenidae,Drum,Miscellaneous coastal fishes,MARINE FISHES,1
Red drum,Sciaenops ocellatus,Drum,Miscellaneous coastal fishes,MARINE FISHES,1
Shi drum,Umbrina cirrosa,Drum,Miscellaneous coastal fishes,MARINE FISHES,1
Shorthead drum,Larimus breviceps,Drum,Miscellaneous coastal fishes,MARINE FISHES,1
Totoaba,Totoaba macdonaldi,Drum,Miscellaneous coastal fishes,MARINE FISHES,1
Mediterranean moray,Muraena helena,Eels,Miscellaneous coastal fishes,MARINE FISHES,1
Morays nei,Muraenidae,Eels,Miscellaneous coastal fishes,MARINE FISHES,1
Snake eels nei,Ophichthidae,Eels,Miscellaneous coastal fishes,MARINE FISHES,1
Filefishes nei,Cantherhines (=Navodon) spp,Filefish,Miscellaneous coastal fishes,MARINE FISHES,1
"Filefishes, leatherjackets nei",Monacanthidae,Filefish,Miscellaneous coastal fishes,MARINE FISHES,1
Threadsail filefish,Stephanolepis cirrhifer,Filefish,Miscellaneous coastal fishes,MARINE FISHES,1
Velvet leatherjacket,Parika scaber,Filefish,Miscellaneous coastal fishes,MARINE FISHES,1
Gilthead seabream,Sparus aurata,Gilt-head seabream,Miscellaneous coastal fishes,MARINE FISHES,1
Areolate grouper,Epinephelus areolatus,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Black grouper,Mycteroperca bonaci,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Blacktail comber,Serranus atricauda,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Brazilian groupers nei,Mycteroperca spp,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Broomtail grouper,Mycteroperca xenarcha,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Brown-marbled grouper,Epinephelus fuscoguttatus,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Brownspotted grouper,Epinephelus chlorostigma,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Camouflage grouper,Epinephelus polyphekadion,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Chocolate hind,Cephalopholis boenak,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Comber,Serranus cabrilla,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Combers nei,Serranus spp,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Comet grouper,Epinephelus morrhua,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Coney,Cephalopholis fulva,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Coral hind,Cephalopholis miniata,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Dogtooth grouper,Epinephelus caninus,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Dungat grouper,Epinephelus goreensis,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Dusky grouper,Epinephelus marginatus,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
Duskytail grouper,Epinephelus bleekeri,Grouper,Miscellaneous coastal fishes,MARINE FISHES,1
