FAO_commodity,assingment
"Diadromous fish, dried, whether or not salted, nei",unsure
"Diadromous fish, fresh or chilled, nei",low
"Diadromous fish, nei, smoked",high
"Diadromous fishes fillets, fresh or chilled, nei",low
"Diadromous fishes fillets, frozen, nei",low
"Diadromous fishes, nei, smoked",high
"Miscellaneous diadromous fish not minced, prep. or pres., nei",unsure
"Miscellaneous diadromous fish, nei, frozen",low
"Miscellaneous diadromous fish, salted or in brine, nei",unsure
"Miscellaneous diadromous fishes, dried, salted or in brine, nei",unsure
"Miscellaneous diadromous fishes, nei, frozen",low
"Miscellaneous diadromous fishes, salted or in brine, nei",unsure
Eels and elvers live,unsure
"Elvers, fresh or chilled",low
"River eel fillets, fresh or chilled, nei",low
"River eel fillets, frozen, nei",low
"River eels, dried, salted or in brine",unsure
"River eels, dried, whether or not salted, not smoked, nei",unsure
"River eels, prepared or preserved, not minced, nei",unsure
"Atlantic and Danube salmons, fresh or chilled",low
"Atlantic salmon and Danube salmon, frozen",low
"Atlantic salmon, not minced, prepared or preserved",unsure
"Chum salmon, not minced, prepared or preserved",unsure
"Coho salmon, not minced, prepared or preserved",unsure
"Pacific salmon, fresh or chilled",low
"Pacific salmon, frozen, nei",low
"Pacific salmons nei, not minced, prepared or preserved",unsure
"Pacific salmons, fresh or chilled",low
"Pacific salmons, frozen, nei",low
"Pink salmon, not minced, prepared or preserved, nei",unsure
"Salmon fillets, dried, salted or in brine",unsure
"Salmon fillets, fresh or chilled",low
"Salmon fillets, frozen",low
"Salmon minced, preparations",high
"Salmon minced, prepared or preserved",unsure
"Salmon nei prep. or pres., not minced, not in airtight containers",unsure
"Salmon nei, not minced, in oil, prepared or preserved",high
"Salmon nei, not minced, prep.or pres, in airtight containers",unsure
"Salmon nei, not minced, prepared or preserved",unsure
"Salmon roes, cured",unsure
"Salmon roes, frozen",low
"Salmon sides, salted or in brine",unsure
"Salmon steaks, fresh or chilled",low
"Salmon steaks, frozen",low
"Salmons nei, frozen",low
"Salmons, dried, whether or not salted, not smoked, nei",unsure
"Salmons, fillets, dried, salted or in brine",unsure
"Salmons, fresh or chilled, nei",low
"Salmons, live",unsure
"Salmons, meat. frozen",low
"Salmons, salted or in brine",unsure
"Salmons, smoked",high
"Salmonoids fillets in blocks, frozen",low
"Salmonoids fillets, dried, salted or in brine, but not smoked",unsure
"Salmonoids fillets, fresh or chilled",low
"Salmonoids fillets, fresh or chilled, nei",low
"Salmonoids fillets, frozen",low
"Salmonoids fillets, frozen, nei",low
"Salmonoids meat, fresh or chilled, nei",low
